metric,value
duration,3326.997665859999
completed,4000
request_throughput,1.2022851837396875
input_throughput,610.2144347237515
output_throughput,610.4693191827043
total_throughput,1220.6837539064559
mean_e2e_latency_ms,26454.690451959497
median_e2e_latency_ms,26291.416126499826
p99_e2e_latency_ms,52732.67027872927
mean_ttft_ms,26454.768422903253
median_ttft_ms,26291.4806255003
p99_ttft_ms,52732.71475361008
mean_tpot_ms,-0.0008093259594760819
median_tpot_ms,-0.00013295535890683392
p99_tpot_ms,-3.1878829964319854e-05
mean_itl_ms,0.0
median_itl_ms,0.0
p95_itl_ms,0.0
p99_itl_ms,0.0
concurrency,31.806082370810678
total_input_tokens,2030182
total_output_tokens,2031030
total_input_tokens_retokenized,
total_output_tokens_retokenized,1569470
